artsnavn;bemaerk_antal
Hvidhovedet And;1
Amerikansk Skarveand;1
Amerikansk Skarveand x Hvidhovedet And (hybrid);1
Sorthalset Svane;1
Knopsvane;200
Sortsvane;1
Pibesvane;500
Sangsvane;500
Pibesvane/Sangsvane;500
Svane sp.;500
Knortegås;500
Knortegås, Sortbuget (ssp. nigricans);1
Knortegås, Mørkbuget x Sortbuget (hybrid);1
Knortegås x Rødhalset Gås (hybrid);1
Knortegås, Mørkbuget (ssp. bernicla);500
Knortegås, Lysbuget (ssp. hrota);500
Rødhalset Gås;1
Canadagås;50
Canadagås x Bramgås (hybrid);1
Canadagås x Grågås (hybrid);1
Bramgås;2000
Bramgås x Dværgcanadagås (hybrid);1
Bramgås x Dværggås (hybrid);1
Bramgås x Rødhalset Gås (hybrid);1
Dværgcanadagås;1
Rajgås sp.;100
Indisk Gås;1
Indisk Gås X Grågås (hybrid);1
Indisk Gås X Canadagås (hybrid);1
Indisk Gås X Bramgås (hybrid);1
Kejsergås;1
Dværgsnegås x Bramgås (hybrid);1
Dværgsnegås;1
Snegås;1
Snegås x Bramgås (hybrid);1
Grågås;550
Grågås x Blisgås (hybrid);1
Grågås x Bramgås (hybrid);1
Svanegås;1
Svanegås x Grågås (hybrid);1
Tajgasædgås/Tundrasædgås;5
Dværggås;1
Blisgås;25
Blisgås, Grønlandsk (ssp. flavirostris);1
Blisgås (ssp. albifrons);1
Blisgås/Dværggås;1
Blisgås x Bramgås (hybrid);1
Blisgås x Rødhalset Gås (hybrid);1
Tundrasædgås;5
Kortnæbbet Gås;10000
Tajgasædgås;2
Grå Gås sp.;550
Gås sp.;250
Moskusand;1
Mandarinand;1
Brudeand;1
Magellangås;1
Nilgås;1
Gravand;250
Rustand;1
Rustand x Gravand (hybrid);1
Havlit;1
Stellersand;1
Kongeederfugl;1
Ederfugl;100
Ederfugl, Arktisk (ssp. borealis);1
Kongeederfugl x Ederfugl (hybrid);1
Sortand;1000
Amerikansk Sortand;1
Tanggås;1
Brilleand;1
Fløjlsand;20
Amerikansk Fløjlsand;1
Asiatisk Fløjlsand;1
Amerikansk/Asiatisk Fløjlsand;1
Bøffeland;1
Hvinand;1000
Lille Skallesluger;5
Hvinand x Lille Skallesluger (hybrid);1
Hjelmskallesluger;1
Toppet Skallesluger;400
Stor Skallesluger;200
