2025-11-14T12:14:52.228Z 192.168.0.2 https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=soekonge-701050
2025-11-14T12:15:03.646Z 192.168.0.2 https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=blaa-glente-651270
2025-11-14T12:15:06.483Z 192.168.0.2 https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=sort-ibis-751555
2025-11-14T12:15:14.620Z 192.168.0.2 https://notifikation.dofbasen.dk/index.html
2025-11-14T12:16:34.822Z 192.168.0.2 None https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=soekonge-701050
2025-11-14T12:17:24.502Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/settings.html
2025-11-14T12:17:25.902Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:17:57.479Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:18:01.984Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=soekonge-701050
2025-11-14T12:18:41.184Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:18:44.033Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/settings.html
2025-11-14T12:20:36.887Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=soekonge-701050
2025-11-14T12:20:38.840Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:20:39.964Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=soekonge-701050
2025-11-14T12:20:40.527Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/settings.html
2025-11-14T12:20:41.313Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/info.html
2025-11-14T12:20:45.177Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/settings.html
2025-11-14T12:20:46.676Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/adminpanel.html
2025-11-14T12:20:48.440Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:20:56.173Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=soekonge-701050
2025-11-14T12:21:54.980Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:21:56.048Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/settings.html
2025-11-14T12:22:00.799Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/settings.html
2025-11-14T12:22:01.828Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:22:03.314Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
2025-11-14T12:22:04.088Z 192.168.0.2 user-6qkhfj8ntoy https://notifikation.dofbasen.dk/index.html
